2016-09-26 13:41:15 [main]  INFO (org.springframework.beans.factory.xml.XmlBeanDefinitionReader.java:315) - Loading XML bean definitions from URL [file:/D:/Users/java/workspace/HyLMS/target/classes/spring-servlet.xml]
2016-09-26 13:41:16 [main]  INFO (org.springframework.context.annotation.ClassPathBeanDefinitionScanner.java:222) - JSR-250 'javax.annotation.ManagedBean' found and supported for component scanning
2016-09-26 13:41:16 [main]  INFO (org.springframework.beans.factory.xml.XmlBeanDefinitionReader.java:315) - Loading XML bean definitions from URL [file:/D:/Users/java/workspace/HyLMS/target/classes/applicationContext.xml]
2016-09-26 13:41:16 [main]  INFO (org.springframework.context.annotation.ClassPathBeanDefinitionScanner.java:222) - JSR-250 'javax.annotation.ManagedBean' found and supported for component scanning
2016-09-26 13:41:16 [main]  INFO (org.springframework.web.context.support.GenericWebApplicationContext.java:510) - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@c7d9406: startup date [Mon Sep 26 13:41:16 CST 2016]; root of context hierarchy
2016-09-26 13:41:16 [main]  INFO (org.springframework.beans.factory.config.PropertyPlaceholderConfigurer.java:172) - Loading properties file from class path resource [db.properties]
2016-09-26 13:41:16 [main]  INFO (org.springframework.beans.factory.support.DefaultListableBeanFactory.java:596) - Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@4388fa1d: defining beans [systemLogAspect,balancePriceMngController,businessProcessMngController,businessTypeMngController,carShopMngController,oilCardRatioMngController,oilPriceMngController,outSourcingMngController,stockMngController,stockPositionMngController,supplierMngController,trackMngController,transportPriceMngController,carStockMangeController,contractSettingController,roleSettingController,systemOperateLogController,userSettingController,loginController,onWayMngController,scheduleMngController,waybillManageController,mobileLoginController,businessOperateLogServiceImpl,securityService,systemErrorLogServiceImpl,systemOperateLogServiceImpl,userServiceImpl,waybillManageServiceImpl,initServlet,org.springframework.context.annotation.internalConfigurationAnnotationProcessor,org.springframework.context.annotation.internalAutowiredAnnotationProcessor,org.springframework.context.annotation.internalRequiredAnnotationProcessor,org.springframework.context.annotation.internalCommonAnnotationProcessor,defaultAnnotationHandlerMapping,annotationMethodHandlerAdapter,org.springframework.web.servlet.view.ContentNegotiatingViewResolver#0,multipartResolver,org.springframework.aop.config.internalAutoProxyCreator,propertyConfigurer,dataSource,mySqlSessionFactory,org.mybatis.spring.mapper.MapperScannerConfigurer#0,transactionManager,org.springframework.transaction.annotation.AnnotationTransactionAttributeSource#0,org.springframework.transaction.interceptor.TransactionInterceptor#0,org.springframework.transaction.config.internalTransactionAdvisor,exceptionHandler,com.jshpsoft.listener.InitListener#0,mvcContentNegotiationManager,org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping#0,org.springframework.format.support.FormattingConversionServiceFactoryBean#0,org.springframework.validation.beanvalidation.LocalValidatorFactoryBean#0,org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter#0,org.springframework.web.servlet.handler.MappedInterceptor#0,org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver#0,org.springframework.web.servlet.mvc.annotation.ResponseStatusExceptionResolver#0,org.springframework.web.servlet.mvc.support.DefaultHandlerExceptionResolver#0,org.springframework.web.servlet.handler.BeanNameUrlHandlerMapping,org.springframework.web.servlet.mvc.HttpRequestHandlerAdapter,org.springframework.web.servlet.mvc.SimpleControllerHandlerAdapter,org.springframework.context.annotation.ConfigurationClassPostProcessor.importAwareProcessor,businessOperateLogMapper,systemErrorLogMapper,systemOperateLogMapper,waybillMapper]; root of factory hierarchy
2016-09-26 13:41:17 [main]  INFO (com.alibaba.druid.pool.DruidDataSource.java:721) - {dataSource-1} inited
2016-09-26 13:41:18 [main]  INFO (org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping.java:315) - Mapped URL path [/basicSetting/balancePriceMng/save] onto handler 'balancePriceMngController'
2016-09-26 13:41:18 [main]  INFO (org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping.java:315) - Mapped URL path [/basicSetting/balancePriceMng/delete] onto handler 'balancePriceMngController'
2016-09-26 13:41:18 [main]  INFO (org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping.java:315) - Mapped URL path [/basicSetting/balancePriceMng/update] onto handler 'balancePriceMngController'
